23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.97407325851382,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.96905142078176,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:43, Temperatura Interna = 0.0, Temperatura Referencial = 25, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 100.0%
23/01/2023 14:44, Temperatura Interna = 0.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.959007746190764,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 65.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.75, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.5, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:44, Temperatura Interna = 64.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 25.964029583340743,  Ventoinha = 0%, Resistor = 0%
